Station;Station alias;Date established;Date closed;Declared reporting status;Calculated reporting status;Station type;WIGOS Station Identifier(s);WMO Region;Country;Latitude;Longitude;Elevation;Geopositioning method;Time zone;Supervising organization;Station URL;Other link (URL);Site description;Climate zone;Predominant surface cover;Surface roughness;Topography or bathymetry;Population in 10km/50km;Programs/Network affiliation
BECHAR;;1949-01-01;;Operational;Operational;Land (fixed);0-20000-0-60571|primary;Africa;Algeria;31.5;-2.25;811;;;ONM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
DAR-EL-BEIDA;;;;Operational;Operational;Land (fixed);0-20000-0-60390|primary;Africa;Algeria;36.6833333333;3.2166666667;25;;;ONM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;METAR;RBCN;RBSN(ST);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
IN-SALAH;;1964-01-01;;Operational;Operational;Land (fixed);0-20000-0-60630|primary;Africa;Algeria;27.2333333333;2.5;273;;;ONM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
TAMANRASSET;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-60680|primary;Africa;Algeria;22.8;5.4333333333;1377;;;ONM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
TINDOUF;;1963-01-01;;Operational;Operational;Land (fixed);0-20000-0-60656|primary;Africa;Algeria;27.7;-8.1666666667;443;;;ONM;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
LUANDA;;1879-01-01;;Operational;Operational;Land (fixed);0-20000-0-66160|primary;Africa;Angola;-8.85;13.2333333333;74;;;INHG;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;RBCN;RBSN(ST);RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
COTONOU;;1952-01-01;;Operational;Operational;Land (fixed);0-20000-0-65344|primary;Africa;Benin;6.35;2.3833333333;5;;;DMNB;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AGRIMET;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
SERETSE KHAMA INTERNATIONAL AIRPORT;;1984-01-01;;Operational;Operational;Land (fixed);0-20000-0-68240|primary;Africa;Botswana;-24.55;25.9166666667;1005;;;BNMS;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP;RBSN(ST);SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
SAL;;1950-01-01;;Operational;Operational;Land (fixed);0-20000-0-08594|primary;Africa;Cabo Verde;16.7419444444;-22.9488888889;54.14;;;INMG;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
DOUALA R.S.;;1964-01-01;;Operational;Operational;Land (fixed);0-20001-0-64910|primary;Africa;Cameroon;4.0166666667;9.7;10;;;NMC;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;GUAN;RBSN(T);WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
